,word,rfreq
1915,sting,4.006516280218823e-05
1916,bravo,4.0054183128161764e-05
1917,secsg,4.00405018764472e-05
1918,liter,4.000032493767404e-05
1919,nicht,3.991060944332619e-05
1920,basil,3.98362654926154e-05
1921,paced,3.980884520142825e-05
1922,renee,3.97474746023961e-05
1923,weiss,3.9620341534721216e-05
1924,giles,3.959969685816355e-05
1925,shack,3.958090138986298e-05
1926,sleek,3.950609513708792e-05
1927,ariel,3.946415567169471e-05
1928,monty,3.945297374051513e-05
1929,cafes,3.945034439752458e-05
1930,hitch,3.944014485823157e-05
1931,nexus,3.941689973256238e-05
1932,tango,3.940122480319565e-05
1933,ernst,3.9388684859702264e-05
1934,sings,3.934226684306142e-05
1935,carte,3.9329423513838354e-05
1936,queer,3.9266478198399776e-05
1937,pains,3.926620370654911e-05
1938,vioxx,3.925324480180998e-05
1939,ahmed,3.9235720664186157e-05
1940,sobre,3.9223758598273113e-05
1941,kuala,3.918667330455477e-05
1942,comma,3.9173194309993327e-05
1943,geeks,3.915951305827877e-05
1944,avant,3.9155294551942286e-05
1945,repec,3.91492123904092e-05
1946,perez,3.901641612244698e-05
1947,cimel,3.901621386529386e-05
1948,leica,3.900374615649802e-05
1949,torah,3.8988273484284406e-05
1950,busch,3.893941393486662e-05
1951,tiava,3.881977882879666e-05
1952,freed,3.8765183844394e-05
1953,cheek,3.8732663783560345e-05
1954,gavin,3.8707121594509296e-05
1955,lasts,3.8698540112441244e-05
1956,httpd,3.862083002482497e-05
1957,bowel,3.852290866883629e-05
1958,chats,3.852178180755463e-05
1959,mafia,3.851582966847712e-05
1960,lilly,3.8503853155624564e-05
1961,shire,3.850226399227863e-05
1962,lyons,3.846955612123136e-05
1963,scams,3.846624777208392e-05
1964,lipid,3.846347395969828e-05
1965,clyde,3.8409789132484656e-05
1966,irwin,3.838628396190431e-05
1967,mains,3.831370253781356e-05
1968,misty,3.831000412129938e-05
1969,prism,3.825633374102527e-05
1970,rests,3.82141197837814e-05
1971,vegan,3.8174853002197275e-05
1972,corel,3.814390765777005e-05
1973,groom,3.810975509277193e-05
1974,osama,3.807703277478515e-05
1975,weeds,3.805932082694772e-05
1976,oprah,3.805709599826341e-05
1977,beers,3.804760435900632e-05
1978,clive,3.804644860384564e-05
1979,darby,3.80122671449685e-05
1980,fills,3.800107076684941e-05
1981,grips,3.798903646623882e-05
1982,kayak,3.798090283929553e-05
1983,altar,3.7964173283344675e-05
1984,gears,3.795105546227095e-05
1985,risen,3.784898783464333e-05
1986,rhino,3.783848490962064e-05
1987,eaton,3.778742942539757e-05
1988,ruler,3.778675041924067e-05
1989,henri,3.7779324692333294e-05
1990,swept,3.773677845548073e-05
1991,troop,3.769790174126333e-05
1992,arose,3.769248413894764e-05
1993,becky,3.7662752337439125e-05
1994,lesbo,3.765360742473024e-05
1995,klaus,3.7631648076677304e-05
1996,hogan,3.7569757387822854e-05
1997,debra,3.747644460553739e-05
1998,cdrom,3.747216831144287e-05
1999,corey,3.7394342648310524e-05
2000,slips,3.738142708438992e-05
2001,trays,3.7369912873601636e-05
2002,flock,3.7346754429569493e-05
2003,chung,3.733343435134265e-05
2004,boris,3.731578019126325e-05
2005,shave,3.72739274075071e-05
2006,swamp,3.720934958790406e-05
2007,faint,3.70671483623218e-05
2008,gland,3.700384187339551e-05
2009,blows,3.693595570464502e-05
2010,stoke,3.687847133234066e-05
2011,kauai,3.675565789957882e-05
2012,ipsec,3.667160560551831e-05
2013,undef,3.6656465212913395e-05
2014,nasal,3.6638796605894486e-05
2015,nitro,3.659588919555421e-05
2016,marin,3.6592869785196935e-05
2017,loser,3.653891046613265e-05
2018,claus,3.652212312242376e-05
2019,hipaa,3.645144869434813e-05
2020,porto,3.644961393303055e-05
2021,jolly,3.643651055889633e-05
2022,femme,3.642252592145209e-05
2023,siege,3.638347584396059e-05
2024,wolfe,3.62987734376222e-05
2025,tyres,3.626687459518741e-05
2026,butte,3.619825163252199e-05
2027,hicks,3.616690177378852e-05
2028,pratt,3.6161469724533326e-05
2029,chalk,3.6095750596709115e-05
2030,negro,3.595958819184141e-05
2031,wrath,3.592520447581115e-05
2032,grind,3.586173907055027e-05
2033,clint,3.585545465186407e-05
2034,blitz,3.5770752245525675e-05
2035,osaka,3.572494100034419e-05
2036,jorge,3.569990445417595e-05
2037,cooks,3.56896471271249e-05
2038,rainy,3.5670764977187283e-05
2039,diggs,3.5643026853330944e-05
2040,pluto,3.5638519408204286e-05
2041,mitch,3.559959935316836e-05
2042,viola,3.552201928800766e-05
2043,rumor,3.54743732815086e-05
2044,volts,3.545887171541597e-05
2045,diver,3.542976113230632e-05
2046,blaze,3.5372060055909335e-05
2047,wreck,3.536516886576378e-05
2048,sammy,3.5360733655334665e-05
2049,arabs,3.5322116986028413e-05
2050,brock,3.527088813853124e-05
2051,hoops,3.52292231649887e-05
2052,macon,3.5217261099075654e-05
2053,lynne,3.521505071733085e-05
2054,chloe,3.5164500875990576e-05
2055,prada,3.5148623689470725e-05
2056,plone,3.5123269310633285e-05
2057,horns,3.506325672391494e-05
2058,kylie,3.4900613078928134e-05
2059,naomi,3.4871256897846846e-05
2060,risky,3.48533571397958e-05
2061,clair,3.482660140782604e-05
2062,crete,3.48127901336559e-05
2063,tulip,3.47693192926748e-05
2064,ciara,3.473781051760674e-05
2065,damon,3.4692100401001816e-05
2066,owing,3.466284534849708e-05
2067,benny,3.458493300372769e-05
2068,ipods,3.45484544814687e-05
2069,annum,3.45340219888997e-05
2070,roche,3.4452743507224824e-05
2071,ropes,3.445073538263314e-05
2072,morse,3.441312999909249e-05
2073,cords,3.4397902924850525e-05
2074,warez,3.432345784556317e-05
2075,ditch,3.429346599914351e-05
2076,slick,3.4277299873833485e-05
2077,chunk,3.4257030817703045e-05
2078,reels,3.4253939172648226e-05
2079,slept,3.425083308065389e-05
2080,gregg,3.423957891477676e-05
2081,huang,3.422306606291854e-05
2082,ibook,3.415549772683724e-05
2083,waits,3.412654606006218e-05
2084,tenor,3.411478625130226e-05
2085,scrub,3.4099096874996015e-05
2086,cello,3.407813436576917e-05
2087,caves,3.402710777542511e-05
2088,cocos,3.400809560303191e-05
2089,metre,3.3961070814931714e-05
2090,thurs,3.39474617979147e-05
2091,topaz,3.3934921854421314e-05
2092,soaps,3.391866904747424e-05
2093,ricoh,3.3882725061977064e-05
2094,gibbs,3.3824633918213346e-05
2095,dusty,3.3805246125392927e-05
2096,patty,3.3801403239483664e-05
2097,crate,3.37598682883967e-05
2098,kanye,3.375820689035322e-05
2099,cared,3.370541777338913e-05
2100,sworn,3.369539159737022e-05
2101,twink,3.369510265858005e-05
2102,bowen,3.369494374224546e-05
2103,beech,3.3619747422103665e-05
2104,frogs,3.3608016507222754e-05
2105,expat,3.358279215084089e-05
2106,agnes,3.355199127580875e-05
2107,glibc,3.353872898533994e-05
2108,maori,3.353579625661971e-05
2109,tense,3.353027752572746e-05
2110,basel,3.351122201251574e-05
2111,oxley,3.3463836050927824e-05
2112,foley,3.3431749398279426e-05
2113,moran,3.3407926395029895e-05
2114,decal,3.3400356198727434e-05
2115,temps,3.337039324618679e-05
2116,fiona,3.3367287154192454e-05
2117,fritz,3.3359269102765235e-05
2118,mover,3.335919686806769e-05
2119,erica,3.3329869580865416e-05
2120,macos,3.3303402787685823e-05
2121,betsy,3.3221893154978815e-05
2122,shaun,3.321540647913949e-05
2123,fauna,3.3212647113693366e-05
2124,detox,3.318957535129828e-05
2125,spurs,3.316481329698069e-05
2126,ortho,3.316338304996935e-05
2127,gould,3.313433025461773e-05
2128,eliza,3.3113324404572364e-05
2129,usaid,3.3097028256806764e-05
2130,darts,3.3095655797553456e-05
2131,tails,3.305167931368955e-05
2132,hangs,3.30417542662472e-05
2133,quark,3.3034617478130004e-05
2134,zyban,3.3033129443360626e-05
2135,dolce,3.2995090651634716e-05
2136,veins,3.2972914599489156e-05
2137,folds,3.2971195413687646e-05
2138,angie,3.2963509641869114e-05
2139,sneak,3.295169204535116e-05
2140,octet,3.2947791371683856e-05
2141,mccoy,3.292424286028499e-05
2142,mateo,3.290208125507893e-05
2143,fread,3.2866195057339794e-05
2144,willy,3.285167588313374e-05
2145,edith,3.2812134609698954e-05
2146,magna,3.279338248221691e-05
2147,polly,3.277837211206756e-05
2148,tidal,3.2775034869041096e-05
2149,jules,3.2774384756763215e-05
2150,ernie,3.276818701971406e-05
2151,poole,3.276486422362711e-05
2152,crust,3.275774188244941e-05
2153,dolly,3.274254370208646e-05
2154,lenox,3.2726319789018404e-05
2155,miner,3.271960196214695e-05
2156,cecil,3.269174826277454e-05
2157,cajun,3.268894555650989e-05
2158,diner,3.267841373760819e-05
2159,regis,3.2660297275464515e-05
2160,mound,3.264508464816205e-05
2161,ethan,3.259684631714314e-05
2162,ibiza,3.254723552687092e-05
2163,reese,3.254677322480664e-05
2164,chefs,3.2543594898114775e-05
2165,pixar,3.2438522307069384e-05
2166,scion,3.243843562543233e-05
2167,dhtml,3.243506948852685e-05
2168,winme,3.2427499292224386e-05
2169,mandy,3.237531694671965e-05
2170,hoods,3.237342439764404e-05
2171,proto,3.2363138176713976e-05
2172,jared,3.236299370731889e-05
2173,wears,3.232388584206936e-05
2174,regal,3.231472648242096e-05
2175,alvin,3.2259943687804696e-05
2176,raton,3.225298026296159e-05
2177,curly,3.223149766391244e-05
2178,hound,3.219692613766857e-05
2179,wharf,3.217125392616195e-05
2180,flick,3.216611081569692e-05
2181,datum,3.216205122569503e-05
2182,maize,3.2102197555311274e-05
2183,banff,3.2094323973279134e-05
2184,psalm,3.207259577625834e-05
2185,gowns,3.203835652962317e-05
2186,luton,3.1992068535437906e-05
2187,leaks,3.1987445514795185e-05
2188,swell,3.1977506020413324e-05
2189,ville,3.1976668097921834e-05
2190,chico,3.1964229283005004e-05
2191,irony,3.1959418452148674e-05
2192,lasik,3.1871292121146764e-05
2193,levin,3.181679826532067e-05
2194,amiga,3.1807581117914235e-05
2195,viper,3.180578969741518e-05
2196,gypsy,3.1800993313498356e-05
2197,litre,3.17139793968386e-05
2198,binds,3.169570401836033e-05
2199,titus,3.168287513607678e-05
2200,flare,3.1646497742394354e-05
2201,wight,3.164271264424312e-05
2202,crank,3.1569567789511536e-05
2203,goats,3.156539262399358e-05
